appliance_id,name,meter_l1,meter_l2,is_mains,has_mixed_loads,notes
BEDA,Bedroom Plugs,,13,N,Y,AFCI arc-fault plugs
BEDP,Bedroom Plugs,6,,N,Y,
BOIL,Boiler,,8,N,N,for hot water and radiant heating
CHRG,Phone Chargers,,21,N,N,garburator and microwave not installed
CWSH,Clothes Washer,,10,N,N,
DRYR,Clothes Dryer,4,5,N,N,
DWSH,Dishwasher,,19,N,N,
FRDG,Kitchen Fridge,,11,N,N,
GEN1,Lights & Plugs,,3,N,Y,general label
GEN2,Lights & Plugs,9,,N,Y,
GEN3,Lights & Plugs,12,,N,Y,general label; incl. Internet modem and network equipment
GEN4,Lights & Plugs,,16,N,Y,general label
GEN5,Lights & Plugs,17,,N,Y,general label
GEN6,Lights & Plugs,20,,N,Y,general label
KIT1,Kitchen Counter Plugs,14,,N,Y,
KIT2,Kitchen Counter Plugs,15,,N,Y,
MAIN,House Sub-Panel,1,2,Y,Y,garage has utility power; garage metering not included due to metering limitations
OUTP,Outside Plugs,,18,N,Y,
VACU,Built-in Vacuum,,7,N,N,
