file,unix_ts,local_dt,local_tm,column,original_value,recovered_value,method,source_hour_unix_ts,source_samples,confidence,notes
energy_hourly.csv,1505642400,2017-09-17,03:00:00,utility,,160,ihd_hourly_mean_round10,1505638800,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 430 observed rows in 2017-09.
energy_hourly.csv,1509872400,2017-11-05,01:00:00,utility,,160,ihd_hourly_mean_round10,1509868800,450,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 720 observed rows in 2017-11.
energy_hourly.csv,1512655200,2017-12-07,06:00:00,utility,,160,ihd_hourly_mean_round10,1512651600,449,high,Main-model cross-check=160 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514250000,2017-12-25,17:00:00,utility,,550,utility_main_model_partial_ihd_check,1514246400,41,medium-high,Partial-IHD cross-check=460 Wh from 41 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514253600,2017-12-25,18:00:00,utility,,3700,utility_main_model_partial_ihd_check,1514250000,43,medium-high,Partial-IHD cross-check=3540 Wh from 43 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514257200,2017-12-25,19:00:00,utility,,1060,utility_main_model_partial_ihd_check,1514253600,35,medium-high,Partial-IHD cross-check=1240 Wh from 35 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514260800,2017-12-25,20:00:00,utility,,510,utility_main_model_partial_ihd_check,1514257200,30,medium-high,Partial-IHD cross-check=460 Wh from 30 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514264400,2017-12-25,21:00:00,utility,,480,utility_main_model_partial_ihd_check,1514260800,17,medium-high,Partial-IHD cross-check=720 Wh from 17 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514268000,2017-12-25,22:00:00,utility,,570,utility_main_model_partial_ihd_check,1514264400,16,medium-high,Partial-IHD cross-check=440 Wh from 16 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514271600,2017-12-25,23:00:00,utility,,500,utility_main_model_partial_ihd_check,1514268000,18,medium-high,Partial-IHD cross-check=570 Wh from 18 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514275200,2017-12-26,00:00:00,utility,,190,utility_main_model_partial_ihd_check,1514271600,12,medium-high,Partial-IHD cross-check=270 Wh from 12 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514278800,2017-12-26,01:00:00,utility,,160,utility_main_model_partial_ihd_check,1514275200,16,medium-high,Partial-IHD cross-check=170 Wh from 16 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514282400,2017-12-26,02:00:00,utility,,140,utility_main_model_partial_ihd_check,1514278800,11,medium-high,Partial-IHD cross-check=130 Wh from 11 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514286000,2017-12-26,03:00:00,utility,,160,utility_main_model_partial_ihd_check,1514282400,5,medium-high,Partial-IHD cross-check=120 Wh from 5 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514289600,2017-12-26,04:00:00,utility,,150,utility_main_model_partial_ihd_check,1514286000,5,medium-high,Partial-IHD cross-check=130 Wh from 5 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514293200,2017-12-26,05:00:00,utility,,150,utility_main_model_partial_ihd_check,1514289600,261,medium-high,Partial-IHD cross-check=140 Wh from 261 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514296800,2017-12-26,06:00:00,utility,,150,ihd_hourly_mean_round10,1514293200,450,high,Main-model cross-check=150 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514300400,2017-12-26,07:00:00,utility,,410,ihd_hourly_mean_round10,1514296800,450,high,Main-model cross-check=410 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514304000,2017-12-26,08:00:00,utility,,330,ihd_hourly_mean_round10,1514300400,450,high,Main-model cross-check=340 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514307600,2017-12-26,09:00:00,utility,,550,ihd_hourly_mean_round10,1514304000,450,high,Main-model cross-check=550 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514311200,2017-12-26,10:00:00,utility,,370,ihd_hourly_mean_round10,1514307600,450,high,Main-model cross-check=370 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514314800,2017-12-26,11:00:00,utility,,420,ihd_hourly_mean_round10,1514311200,450,high,Main-model cross-check=420 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514318400,2017-12-26,12:00:00,utility,,230,ihd_hourly_mean_round10,1514314800,450,high,Main-model cross-check=230 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514322000,2017-12-26,13:00:00,utility,,220,ihd_hourly_mean_round10,1514318400,448,high,Main-model cross-check=220 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514325600,2017-12-26,14:00:00,utility,,340,ihd_hourly_mean_round10,1514322000,450,high,Main-model cross-check=340 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514329200,2017-12-26,15:00:00,utility,,420,ihd_hourly_mean_round10,1514325600,450,high,Main-model cross-check=420 Wh; delta=0 Wh. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514332800,2017-12-26,16:00:00,utility,,450,utility_main_model_partial_ihd_check,1514329200,414,medium-high,Partial-IHD cross-check=440 Wh from 414 samples. Model trained on 646 observed rows in 2017-12.
energy_hourly.csv,1514336400,2017-12-26,17:00:00,utility,,470,ihd_hourly_mean_round10,1514332800,450,high,Main-model cross-check=480 Wh; delta=-10 Wh. Model trained on 646 observed rows in 2017-12.
