unix_ts,main,beda,bedp,boil,chrg,cwsh,dryr,dwsh,frdg,gen1,gen2,gen3,gen4,gen5,gen6,kit1,kit2,outp,vacu
1528598292,202,2,73,16,0,2,1,0,4,0,2,30,1,7,39,1,0,1,0
1559399189,126,3,43,15,0,2,1,0,4,0,2,36,1,11,1,1,0,1,0
1559399190,134,3,42,15,0,2,1,0,4,0,2,36,1,11,1,1,0,1,0
1559399191,136,3,41,15,0,2,1,0,4,0,2,36,1,11,2,1,0,1,0
1559399207,126,3,44,15,0,2,1,0,4,0,2,36,1,11,1,1,0,1,0
1559399208,134,3,43,15,0,2,1,0,4,0,2,36,1,11,1,1,0,1,0
1559399209,134,3,43,15,0,2,1,0,4,0,2,36,1,11,1,1,0,1,0
1559399210,134,3,43,15,0,2,0,0,4,0,2,36,1,11,2,1,0,1,0
1559399211,136,3,43,15,0,2,0,0,4,0,2,36,1,11,2,1,0,1,0
1559399212,126,3,42,15,0,2,1,0,4,0,2,36,1,11,2,1,0,1,0
1559399213,134,3,43,15,0,2,0,0,4,0,2,36,1,14,2,1,0,1,0
1559399214,134,3,44,15,0,2,0,0,4,0,2,36,1,11,2,1,0,1,0
1559399215,126,3,43,15,0,2,0,0,4,0,2,36,1,12,1,1,0,1,0
