unix_ts,main,beda,bedp,boil,chrg,cwsh,dryr,dwsh,frdg,gen1,gen2,gen3,gen4,gen5,gen6,kit1,kit2,outp,vacu
1528598292,101,0,54,21,0,4,0,0,0,0,0,4,19,20,14,1,0,0,0
1559399189,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399190,76,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399191,76,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399207,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399208,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399209,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399210,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399211,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399212,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399213,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399214,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
1559399215,75,1,42,22,0,5,0,0,0,0,0,4,19,16,3,1,0,0,0
